timestamp,service,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-08-19T02:38:45.7073503+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:45.7073503+00:00,cortex-llm-gateway-1,0.15%,463.7MiB / 7.605GiB,5.95%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:38:45.7073503+00:00,cortex-redis-1,12.27%,34.11MiB / 7.605GiB,0.44%,56.2MB / 12.1MB,493MB / 51.8MB,8
2026-08-19T02:38:45.7073503+00:00,cortex-db-1,73.40%,701.1MiB / 7.605GiB,9.00%,25.5MB / 18.2MB,698MB / 1.89GB,31
2026-08-19T02:38:50.4515377+00:00,cortex-backend-1,63.92%,141.6MiB / 2GiB,6.91%,36.2MB / 88.4MB,1.93MB / 4.1kB,19
2026-08-19T02:38:50.4515377+00:00,cortex-embedding-service-1,0.22%,582.9MiB / 3GiB,18.97%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:50.4515377+00:00,cortex-reranker-service-1,0.43%,1.223GiB / 7.605GiB,16.08%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:50.4515377+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:50.4515377+00:00,cortex-llm-gateway-1,0.17%,463.7MiB / 7.605GiB,5.95%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:38:50.4515377+00:00,cortex-redis-1,11.12%,33.55MiB / 7.605GiB,0.43%,57MB / 12.4MB,493MB / 52MB,8
2026-08-19T02:38:50.4515377+00:00,cortex-db-1,73.55%,702.4MiB / 7.605GiB,9.02%,27.3MB / 19.3MB,698MB / 1.9GB,31
2026-08-19T02:38:55.2135380+00:00,cortex-backend-1,69.36%,149.4MiB / 2GiB,7.29%,40MB / 98.1MB,1.93MB / 4.1kB,19
2026-08-19T02:38:55.2135380+00:00,cortex-embedding-service-1,0.17%,582.2MiB / 3GiB,18.95%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:55.2135380+00:00,cortex-reranker-service-1,0.30%,1.222GiB / 7.605GiB,16.07%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:55.2135380+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:55.2135380+00:00,cortex-llm-gateway-1,0.39%,463.2MiB / 7.605GiB,5.95%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:38:55.2135380+00:00,cortex-redis-1,40.12%,35.28MiB / 7.605GiB,0.45%,63.2MB / 13.9MB,493MB / 53.3MB,8
2026-08-19T02:38:55.2135380+00:00,cortex-db-1,77.35%,700.1MiB / 7.605GiB,8.99%,29.6MB / 20.9MB,699MB / 1.91GB,31
2026-08-19T02:38:59.9873562+00:00,cortex-backend-1,64.91%,149.4MiB / 2GiB,7.29%,41.7MB / 101MB,1.93MB / 4.1kB,19
2026-08-19T02:38:59.9873562+00:00,cortex-embedding-service-1,0.17%,581.5MiB / 3GiB,18.93%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:59.9873562+00:00,cortex-reranker-service-1,0.32%,1.222GiB / 7.605GiB,16.07%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:59.9873562+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:59.9873562+00:00,cortex-llm-gateway-1,0.27%,462.8MiB / 7.605GiB,5.94%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:38:59.9873562+00:00,cortex-redis-1,14.15%,35.47MiB / 7.605GiB,0.46%,64.1MB / 14.2MB,493MB / 63.5MB,8
2026-08-19T02:38:59.9873562+00:00,cortex-db-1,74.61%,697.4MiB / 7.605GiB,8.96%,31.4MB / 22MB,699MB / 1.93GB,31
2026-08-19T02:39:04.7521623+00:00,cortex-backend-1,47.68%,139.1MiB / 2GiB,6.79%,43.2MB / 104MB,1.93MB / 4.1kB,19
2026-08-19T02:39:04.7521623+00:00,cortex-embedding-service-1,0.26%,581.5MiB / 3GiB,18.93%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:39:04.7521623+00:00,cortex-reranker-service-1,0.28%,1.222GiB / 7.605GiB,16.07%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:39:04.7521623+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:39:04.7521623+00:00,cortex-llm-gateway-1,0.18%,462.8MiB / 7.605GiB,5.94%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:39:04.7521623+00:00,cortex-redis-1,7.72%,35.45MiB / 7.605GiB,0.46%,64.7MB / 14.4MB,493MB / 63.7MB,8
2026-08-19T02:39:04.7521623+00:00,cortex-db-1,79.63%,697.9MiB / 7.605GiB,8.96%,32.8MB / 22.9MB,699MB / 1.93GB,31
2026-08-19T02:39:09.4577566+00:00,cortex-backend-1,49.71%,139.1MiB / 2GiB,6.79%,44.4MB / 106MB,1.93MB / 4.1kB,19
2026-08-19T02:39:09.4577566+00:00,cortex-embedding-service-1,0.30%,581.5MiB / 3GiB,18.93%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:39:09.4577566+00:00,cortex-reranker-service-1,0.45%,1.222GiB / 7.605GiB,16.07%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:39:09.4577566+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:39:09.4577566+00:00,cortex-llm-gateway-1,0.21%,462.8MiB / 7.605GiB,5.94%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:39:09.4577566+00:00,cortex-redis-1,4.44%,34.84MiB / 7.605GiB,0.45%,64.9MB / 14.4MB,493MB / 63.8MB,8
2026-08-19T02:39:09.4577566+00:00,cortex-db-1,75.57%,699.1MiB / 7.605GiB,8.98%,34.9MB / 24.2MB,699MB / 1.94GB,31
